Model,Accel,Trials,batchsize,50th_pct,90th_pct,avg_latency(ms),Min,Max,Accuracy,Normalized_Accuracy
albert-large-v2,onnxruntime_cpu,100,2,129.75382804870605,139.39189910888672,130.7040238380432,112.3049259185791,149.73115921020508,94.9,98.03719008264463
albert-large-v2,onnxruntime_cpu,100,4,98.44589233398438,101.49908065795898,98.78872871398926,95.08609771728516,116.90378189086914,94.9,98.03719008264463
albert-large-v2,onnxruntime_cpu,100,8,129.79674339294434,134.66811180114746,130.5055069923401,126.63984298706055,143.45121383666992,94.9,98.03719008264463
albert-large-v2,onnxruntime_cpu,100,16,174.32212829589844,180.68289756774902,175.45766830444336,168.97892951965332,211.31610870361328,94.9,98.03719008264463
albert-xlarge-v2,onnxruntime_cpu,100,1,303.96389961242676,316.84398651123047,304.38071966171265,271.7750072479248,324.5091438293457,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_cpu,100,2,299.70598220825195,305.1409721374512,299.4300580024719,272.85313606262207,321.1970329284668,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_cpu,100,4,280.23600578308105,285.20917892456055,280.9945511817932,272.3519802093506,309.4358444213867,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_cpu,100,8,349.11489486694336,358.1888675689697,341.02079153060913,315.20891189575195,362.9262447357178,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_cpu,100,16,488.40880393981934,494.4648742675781,483.799204826355,436.9802474975586,502.02012062072754,95.4,98.55371900826448
albert-xxlarge-v2,onnxruntime_cpu,100,1,400.3262519836426,407.6669216156006,401.282958984375,391.2200927734375,435.13011932373047,96.8,100.0
albert-xxlarge-v2,onnxruntime_cpu,100,2,409.18612480163574,413.4407043457031,409.0188241004944,393.83983612060547,455.826997756958,96.8,100.0
albert-xxlarge-v2,onnxruntime_cpu,100,4,422.2290515899658,426.7709255218506,422.3136496543884,412.7957820892334,453.9752006530762,96.8,100.0
albert-xxlarge-v2,onnxruntime_cpu,100,8,550.6939888000488,555.156946182251,550.0251460075378,528.7690162658691,573.5518932342529,96.8,100.0
albert-xxlarge-v2,onnxruntime_cpu,100,16,738.861083984375,747.5602626800537,740.1989507675171,729.9079895019531,785.365104675293,96.8,100.0
bert-base-uncased,onnxruntime_cpu,100,1,50.3697395324707,52.78825759887695,50.8919620513916,46.836137771606445,76.09295845031738,93.5,96.5909090909091
bert-base-uncased,onnxruntime_cpu,100,2,46.511173248291016,53.11298370361328,47.46143579483032,39.62898254394531,61.09905242919922,93.5,96.5909090909091
bert-base-uncased,onnxruntime_cpu,100,4,42.29617118835449,48.39205741882324,42.63235092163086,35.64310073852539,58.51411819458008,93.5,96.5909090909091
bert-base-uncased,onnxruntime_cpu,100,8,40.12703895568848,41.471004486083984,40.30158996582031,37.930965423583984,52.721261978149414,93.5,96.5909090909091
bert-base-uncased,onnxruntime_cpu,100,16,61.29789352416992,63.68684768676758,61.78568124771118,58.14719200134277,81.59208297729492,93.5,96.5909090909091
bert-large-uncased,onnxruntime_cpu,100,1,100.55804252624512,104.45165634155273,101.86692714691162,98.18482398986816,138.94391059875488,94.9,98.03719008264463
bert-large-uncased,onnxruntime_cpu,100,2,112.26010322570801,117.63787269592285,112.78756856918335,104.12216186523438,153.245210647583,94.9,98.03719008264463
bert-large-uncased,onnxruntime_cpu,100,4,93.40381622314453,96.48680686950684,94.27907705307007,90.78788757324219,144.7770595550537,94.9,98.03719008264463
bert-large-uncased,onnxruntime_cpu,100,8,123.78621101379395,125.52928924560547,124.39349412918091,121.17910385131836,166.48507118225098,94.9,98.03719008264463
bert-large-uncased,onnxruntime_cpu,100,16,170.3948974609375,174.96204376220703,171.99418544769287,164.32881355285645,242.98906326293945,94.9,98.03719008264463
roberta-base,onnxruntime_gpu_ampere,100,1,14.158010482788086,14.606237411499023,19.425437450408936,13.931035995483398,532.050371170044,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_ampere,100,2,15.346527099609375,15.760421752929688,15.429074764251709,15.106439590454102,17.741680145263672,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_ampere,100,4,15.415191650390625,15.843868255615234,15.513725280761719,15.194892883300781,18.56231689453125,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_ampere,100,8,15.563011169433594,15.895605087280273,15.655667781829836,15.270233154296875,19.74630355834961,94.8,97.93388429752066
roberta-base,onnxruntime_gpu_ampere,100,16,16.510963439941406,17.049789428710938,16.64543390274048,16.243696212768555,19.234180450439453,94.8,97.93388429752066
roberta-large,onnxruntime_gpu_ampere,100,1,27.982473373413086,28.749942779541016,28.019721508026123,27.075767517089844,29.4954776763916,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_ampere,100,2,30.171632766723633,30.968189239501953,30.21836519241333,28.912067413330078,32.614707946777344,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_ampere,100,4,30.78436851501465,31.485319137573242,30.807626247406006,29.56366539001465,34.021615982055664,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_ampere,100,8,30.514240264892578,31.11886978149414,30.931568145751953,29.40964698791504,70.21212577819824,96.4,99.58677685950414
roberta-large,onnxruntime_gpu_ampere,100,16,30.282974243164062,30.97391128540039,30.50983190536499,29.21891212463379,54.09884452819824,96.4,99.58677685950414
albert-base-v2,onnxruntime_gpu_ampere,100,1,16.180038452148438,16.594409942626953,16.32566213607788,15.891075134277344,27.317285537719727,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_ampere,100,2,17.403841018676758,17.82679557800293,17.547855377197266,17.055988311767578,28.381824493408203,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_ampere,100,4,17.520666122436523,17.939329147338867,17.57009267807007,17.18306541442871,18.718242645263672,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_ampere,100,8,18.453359603881836,18.931865692138672,18.52609872817993,18.10169219970703,21.195411682128906,92.9,95.9710743801653
albert-base-v2,onnxruntime_gpu_ampere,100,16,18.503665924072266,19.042015075683594,18.59184741973877,18.169403076171875,20.058155059814453,92.9,95.9710743801653
albert-large-v2,onnxruntime_gpu_ampere,100,1,31.88610076904297,32.393693923950195,31.8619441986084,30.879974365234375,32.81068801879883,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_ampere,100,2,33.73074531555176,34.17038917541504,33.660244941711426,32.655954360961914,35.78829765319824,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_ampere,100,4,34.42525863647461,34.813642501831055,34.396936893463135,33.194541931152344,36.50355339050293,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_ampere,100,8,34.230947494506836,34.73925590515137,34.36590909957886,33.24580192565918,45.29833793640137,94.9,98.03719008264463
albert-large-v2,onnxruntime_gpu_ampere,100,16,34.52110290527344,35.040855407714844,34.520909786224365,33.568382263183594,38.2230281829834,94.9,98.03719008264463
albert-xlarge-v2,onnxruntime_gpu_ampere,100,1,32.35912322998047,33.02621841430664,32.33407497406006,31.27765655517578,34.00373458862305,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_ampere,100,2,34.32607650756836,34.76715087890625,34.261794090270996,33.13088417053223,36.543846130371094,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_ampere,100,4,34.71183776855469,35.22610664367676,34.621241092681885,33.21433067321777,36.370038986206055,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_ampere,100,8,34.58738327026367,35.11166572570801,34.55496549606323,33.423662185668945,37.78266906738281,95.4,98.55371900826448
albert-xlarge-v2,onnxruntime_gpu_ampere,100,16,34.80339050292969,35.561323165893555,34.79288578033447,33.44559669494629,42.397260665893555,95.4,98.55371900826448
albert-xxlarge-v2,onnxruntime_gpu_ampere,100,1,17.51255989074707,18.027067184448242,17.55141019821167,16.66402816772461,19.556522369384766,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_ampere,100,2,17.670631408691406,18.033981323242188,17.683544158935547,17.25029945373535,19.428253173828125,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_ampere,100,4,17.671585083007812,18.174171447753906,17.746801376342773,17.235279083251953,19.767284393310547,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_ampere,100,8,28.905868530273438,29.24036979675293,28.226017951965332,17.28200912475586,29.47258949279785,96.8,100.0
albert-xxlarge-v2,onnxruntime_gpu_ampere,100,16,48.47002029418945,48.642635345458984,47.30920076370239,17.84038543701172,49.17597770690918,96.8,100.0
bert-base-uncased,onnxruntime_gpu_ampere,100,1,14.409542083740234,14.81485366821289,14.549458026885986,14.173507690429688,21.90995216369629,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_ampere,100,2,15.328645706176758,15.633821487426758,15.38187026977539,15.104293823242188,17.28034019470215,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_ampere,100,4,15.42806625366211,15.840768814086914,15.531041622161865,15.177249908447266,18.58353614807129,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_ampere,100,8,15.45572280883789,15.732049942016602,15.485115051269531,15.18392562866211,17.41313934326172,93.5,96.5909090909091
bert-base-uncased,onnxruntime_gpu_ampere,100,16,15.594959259033203,15.963554382324219,15.668427944183348,15.33818244934082,17.4710750579834,93.5,96.5909090909091
bert-large-uncased,onnxruntime_gpu_ampere,100,1,28.22136878967285,28.865814208984375,28.229286670684814,27.253389358520508,29.94680404663086,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_ampere,100,2,30.165910720825195,30.858278274536133,30.169246196746826,28.60546112060547,32.97090530395508,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_ampere,100,4,30.15422821044922,30.626296997070312,30.158250331878662,29.206037521362305,33.30707550048828,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_ampere,100,8,30.574560165405273,31.061410903930664,30.54271936416626,29.574155807495117,33.5695743560791,94.9,98.03719008264463
bert-large-uncased,onnxruntime_gpu_ampere,100,16,30.502796173095703,31.060457229614258,30.503640174865723,29.437780380249023,33.54144096374512,94.9,98.03719008264463
prajjwal1/bert-tiny,onnxruntime_gpu_pascal,1000,1,1.7256736755371094,1.7478466033935547,2.171635627746582,1.707315444946289,438.14802169799805,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_pascal,1000,2,1.8322467803955078,1.8470287322998047,1.8460073471069336,1.8138885498046875,5.882501602172852,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_pascal,1000,4,1.9326210021972656,1.9659996032714844,1.9479930400848389,1.9147396087646484,6.047248840332031,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_pascal,1000,8,1.934051513671875,1.9452571868896484,1.9431045055389404,1.9161701202392578,6.056547164916992,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_pascal,1000,16,1.9423961639404297,1.9562244415283203,1.948028564453125,1.9240379333496094,3.408670425415039,83.2,85.9504132231405
prajjwal1/bert-mini,onnxruntime_gpu_pascal,1000,1,1.7390251159667969,1.7528533935546875,1.7483446598052979,1.7206668853759766,5.072116851806641,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_pascal,1000,2,1.844167709350586,1.861572265625,1.8524115085601807,1.8279552459716797,4.418134689331055,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_pascal,1000,4,1.9350051879882812,1.9495487213134766,1.9424209594726562,1.9176006317138672,4.589080810546875,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_pascal,1000,8,1.9421577453613281,1.9595623016357422,1.950561761856079,1.922607421875,4.601716995239258,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_pascal,1000,16,1.9452571868896484,1.9576549530029297,1.9552621841430664,1.93023681640625,6.780862808227539,85.9,88.7396694214876
prajjwal1/bert-small,onnxruntime_gpu_pascal,1000,1,1.749277114868164,1.768350601196289,1.7563047409057617,1.73187255859375,2.787351608276367,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_gpu_pascal,1000,2,1.8463134765625,1.8587112426757812,1.8543236255645752,1.829385757446289,5.109071731567383,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_gpu_pascal,1000,4,1.9350051879882812,1.9516944885253906,1.9438412189483643,1.9154548645019531,4.511356353759766,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_gpu_pascal,1000,8,1.9385814666748047,1.950979232788086,1.9462361335754395,1.9190311431884766,4.585027694702148,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_gpu_pascal,1000,16,1.9412040710449219,1.9712448120117188,1.9503741264343262,1.9245147705078125,4.537343978881836,89.7,92.66528925619836
prajjwal1/bert-medium,onnxruntime_gpu_pascal,1000,1,1.743316650390625,1.7592906951904297,1.7517085075378418,1.7271041870117188,4.448413848876953,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_gpu_pascal,1000,2,1.8472671508789062,1.8699169158935547,1.8543028831481934,1.8305778503417969,3.138303756713867,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_gpu_pascal,1000,4,1.9388198852539062,1.9521713256835938,1.9468891620635986,1.9197463989257812,5.220651626586914,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_gpu_pascal,1000,8,1.9328594207763672,1.9605159759521484,1.9416077136993408,1.9140243530273438,4.481077194213867,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_gpu_pascal,1000,16,1.9378662109375,1.9528865814208984,1.948216199874878,1.9214153289794922,4.5032501220703125,89.6,92.56198347107437
prajjwal1/bert-tiny,onnxruntime_cpu,1000,1,0.9672641754150391,1.1031627655029297,1.0099635124206543,0.7212162017822266,31.365156173706055,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_cpu,1000,2,1.0769367218017578,1.1599063873291016,1.0851023197174072,0.9109973907470703,3.2529830932617188,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_cpu,1000,4,1.341104507446289,1.4231204986572266,1.342360019683838,1.0411739349365234,2.2857189178466797,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_cpu,1000,8,1.4221668243408203,1.5180110931396484,1.4234116077423096,1.1348724365234375,2.123117446899414,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_cpu,1000,16,1.9481182098388672,2.070903778076172,1.9551780223846438,1.6391277313232422,2.750873565673828,83.2,85.9504132231405
prajjwal1/bert-mini,onnxruntime_cpu,1000,1,0.9541511535644531,1.0411739349365234,0.9574258327484131,0.6899833679199219,2.0279884338378906,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_cpu,1000,2,1.093149185180664,1.1730194091796875,1.0940585136413574,0.904083251953125,2.171754837036133,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_cpu,1000,4,1.3761520385742188,1.4667510986328125,1.3777081966400146,1.168966293334961,2.3081302642822266,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_cpu,1000,8,1.46484375,1.6291141510009766,1.4790241718292236,1.1568069458007812,2.3970603942871094,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_cpu,1000,16,1.9426345825195312,2.0461082458496094,1.9441463947296143,1.7001628875732422,2.7761459350585938,85.9,88.7396694214876
prajjwal1/bert-small,onnxruntime_cpu,1000,1,0.9667873382568359,1.0690689086914062,0.9743115901947021,0.7569789886474609,2.0940303802490234,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_cpu,1000,2,1.1141300201416016,1.2061595916748047,1.1159441471099854,0.8420944213867188,1.9879341125488281,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_cpu,1000,4,1.2798309326171875,1.4636516571044922,1.3067269325256348,1.0471343994140625,3.1599998474121094,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_cpu,1000,8,1.3968944549560547,1.5270709991455078,1.4056107997894287,1.188039779663086,2.379894256591797,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_cpu,1000,16,2.0017623901367188,2.1419525146484375,2.0079989433288574,1.734018325805664,2.554178237915039,89.7,92.66528925619836
prajjwal1/bert-medium,onnxruntime_cpu,1000,1,0.9567737579345703,1.0612010955810547,0.9641046524047852,0.7700920104980469,2.1119117736816406,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_cpu,1000,2,1.1510848999023438,1.2707710266113281,1.1563479900360107,0.8513927459716797,3.3979415893554688,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_cpu,1000,4,1.3880729675292969,1.5091896057128906,1.395211935043335,1.1088848114013672,2.087831497192383,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_cpu,1000,8,1.438140869140625,1.5401840209960938,1.4426000118255615,1.21307373046875,2.5479793548583984,89.6,92.56198347107437
prajjwal1/bert-medium,onnxruntime_cpu,1000,16,1.978158950805664,2.110004425048828,1.9813892841339114,1.711130142211914,3.173828125,89.6,92.56198347107437
prajjwal1/bert-tiny,onnxruntime_gpu_ampere,100,1,2.814054489135742,2.8562545776367188,8.426387310028076,2.768278121948242,563.6992454528809,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_ampere,100,2,3.0221939086914062,3.0422210693359375,3.027207851409912,2.971172332763672,3.8754940032958984,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_ampere,100,4,3.305673599243164,3.3326148986816406,3.3107781410217285,3.243684768676758,4.000425338745117,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_ampere,100,8,3.176450729370117,3.2126903533935547,3.185093402862549,3.1197071075439453,4.149198532104492,83.2,85.9504132231405
prajjwal1/bert-tiny,onnxruntime_gpu_ampere,100,16,3.2143592834472656,3.2317638397216797,3.220655918121338,3.1671524047851562,4.072427749633789,83.2,85.9504132231405
prajjwal1/bert-mini,onnxruntime_gpu_ampere,100,1,2.856016159057617,2.903461456298828,2.86287784576416,2.8107166290283203,3.4089088439941406,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_ampere,100,2,3.027200698852539,3.063201904296875,3.037283420562744,2.975940704345703,3.604888916015625,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_ampere,100,4,3.154277801513672,3.192901611328125,3.161942958831787,3.1070709228515625,3.7992000579833984,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_ampere,100,8,3.1583309173583984,3.175497055053711,3.1627559661865234,3.1104087829589844,3.8251876831054688,85.9,88.7396694214876
prajjwal1/bert-mini,onnxruntime_gpu_ampere,100,16,3.2243728637695312,3.2491683959960938,3.2313132286071777,3.1807422637939453,3.873109817504883,85.9,88.7396694214876
prajjwal1/bert-small,onnxruntime_gpu_ampere,100,1,2.8624534606933594,2.8989315032958984,2.8714585304260254,2.8209686279296875,3.491640090942383,89.7,92.66528925619836
prajjwal1/bert-small,onnxruntime_gpu_ampere,100,2,3.031015396118164,3.0503273010253906,3.0347776412963867,2.989053726196289,3.6292076110839844,89.7,92.66528925619836
